Product Name,Category,Price (₹),Rating,Stock
Wristwatch,Stylish Wear,10883.82,4.3,154
Formal Shoes,Stylish Wear,26556.86,3.2,39
Curtains,Home Essentials,1718.14,4.2,144
Bookshelf,Home Essentials,10192.2,3.4,152
Mattress,Home Essentials,48848.98,4.6,74
Curtains,Home Essentials,38369.73,4.5,85
Hoodie,Stylish Wear,43762.46,3.7,68
Refrigerator,Home Appliances,25321.27,4.2,127
Coffee Table,Home Essentials,8803.35,3.7,62
Sofa Set,Home Essentials,20902.87,3.8,186
Notebook Set,Study Essentials,45221.67,3.8,38
Wristwatch,Stylish Wear,6251.15,3.5,177
Bookshelf,Home Essentials,30822.67,4.4,47
Laptop,Study Essentials,45342.97,3.9,188
Curtains,Home Essentials,27887.59,4.3,59
Ergonomic Chair,Study Essentials,5669.87,4.0,14
Summer Dress,Stylish Wear,32545.88,3.7,27
Refrigerator,Home Appliances,43216.72,3.5,28
Blender,Home Appliances,49931.51,4.8,151
Induction Cooktop,Home Appliances,44264.09,3.8,146
Coffee Table,Home Essentials,34246.84,3.6,141
Hoodie,Stylish Wear,16329.59,4.7,147
Whiteboard,Study Essentials,43754.46,3.5,154
Desk Lamp,Study Essentials,47363.05,3.7,22
Wristwatch,Stylish Wear,46203.48,3.7,193
Dining Table,Home Essentials,46059.77,3.2,109
Bookshelf,Home Essentials,1578.63,4.8,140
Leather Jacket,Stylish Wear,8581.38,3.0,54
Dining Table,Home Essentials,42220.66,3.6,16
Sneakers,Stylish Wear,9466.05,4.8,35
Wall Clock,Home Essentials,18685.6,3.2,10
Summer Dress,Stylish Wear,18318.02,4.2,147
Whiteboard,Study Essentials,9899.61,4.8,21
Summer Dress,Stylish Wear,6717.14,4.8,189
Electric Kettle,Home Appliances,28776.8,4.6,150
Sofa Set,Home Essentials,14065.31,4.2,7
Curtains,Home Essentials,1419.16,4.8,76
Sportswear Set,Stylish Wear,29130.42,3.4,157
Sofa Set,Home Essentials,28096.44,3.7,83
Sofa Set,Home Essentials,12078.23,4.4,43
Electric Kettle,Home Appliances,23641.39,4.3,30
Wristwatch,Stylish Wear,16818.86,3.5,15
Coffee Table,Home Essentials,42724.28,4.4,42
Rug,Home Essentials,9568.99,4.7,94
